client_id,treatment,offer_id,treatment_date,offer_type,offer_category,cost,offer_AOV,channel,conversion,revenue_14d,recency_days,frequency_90d,monetary_90d,avg_order_value_lifetime,total_orders_lifetime,days_since_last_promo,discounts_used_90d,avg_discount_percent_90d,favorite_category,visited_category_14d,category_affinity_top1,is_mobile_user,city_tier,email_open_rate_30d,push_enabled,age,gender,price_segment,other
17850,1,0,2024-04-12,discount_10,category_0,2.09,18.15,app,0,0.0,371,0,0.0,18.15,23,18,0,13.1,category_0,category_0,0.7,0,3,0.98,1,37,F,budget,
17850,0,2,2024-06-28,free_delivery,category_0,3.84,18.15,app,0,0.0,371,0,0.0,18.15,27,4,0,16.9,category_0,category_3,0.63,0,3,0.45,1,50,F,budget,
17850,0,2,2024-04-02,free_delivery,category_0,1.44,18.15,web,0,0.0,371,0,0.0,18.15,10,18,0,18.8,category_0,category_0,0.77,1,3,0.27,1,39,F,budget,
17850,0,1,2024-01-15,discount_20,category_0,5.21,18.15,web,0,0.0,371,0,0.0,18.15,7,34,0,5.4,category_0,category_0,0.89,1,3,0.92,0,22,F,budget,
13047,0,1,2024-04-16,discount_20,category_8,2.0,18.82,web,0,0.0,31,32,555.53,18.82,66,11,2,16.8,category_8,category_8,0.54,1,3,0.08,1,60,M,budget,
13047,1,2,2024-03-12,free_delivery,category_8,5.65,18.82,app,0,0.0,31,32,555.53,18.82,47,38,9,15.4,category_8,category_8,0.77,1,3,0.76,1,58,M,budget,
12583,1,1,2024-01-21,discount_20,category_8,5.13,29.48,web,0,0.0,2,101,3049.17,29.48,116,24,1,16.9,category_8,category_8,0.48,1,3,0.25,1,40,F,budget,
12583,1,0,2024-04-12,discount_10,category_8,7.16,29.48,app,1,27.6,2,101,3049.17,29.48,106,4,8,6.5,category_8,category_8,0.45,1,3,0.71,1,35,F,budget,
12583,1,0,2024-05-01,discount_10,category_8,1.49,29.48,web,0,0.0,2,101,3049.17,29.48,120,11,4,6.1,category_8,category_8,0.91,0,3,0.14,1,65,F,budget,
12583,1,2,2024-03-15,free_delivery,category_8,8.02,29.48,app,0,0.0,2,101,3049.17,29.48,111,26,2,8.6,category_8,category_8,0.87,1,3,0.05,1,55,M,budget,
13748,1,1,2024-03-28,discount_20,category_1,3.98,33.87,web,0,0.0,95,0,0.0,33.87,7,3,0,22.4,category_1,category_1,0.68,0,3,0.68,1,29,F,budget,
13748,1,1,2024-04-26,discount_20,category_1,7.35,33.87,web,0,0.0,95,0,0.0,33.87,19,51,0,12.1,category_1,category_1,0.48,0,3,0.38,1,65,F,budget,
13748,1,1,2024-04-09,discount_20,category_1,8.52,33.87,app,1,29.96,95,0,0.0,33.87,31,18,0,13.7,category_1,category_1,0.54,0,3,0.99,1,68,F,budget,
15100,1,0,2024-04-13,discount_10,category_7,26.58,292.0,web,0,0.0,333,0,0.0,292.0,32,44,0,12.8,category_7,category_7,0.71,1,3,0.56,1,57,M,budget,
15100,0,0,2024-05-31,discount_10,category_7,46.9,292.0,email,0,0.0,333,0,0.0,292.0,5,46,0,19.3,category_7,category_7,0.76,0,3,0.05,1,30,F,budget,
15100,1,0,2024-05-10,discount_10,category_7,50.65,292.0,app,1,354.33,333,0,0.0,292.0,27,23,0,10.2,category_7,category_4,0.78,0,3,0.14,1,22,M,budget,
15100,1,0,2024-05-29,discount_10,category_7,37.38,292.0,web,0,0.0,333,0,0.0,292.0,7,41,0,6.4,category_7,category_7,0.81,1,3,0.9,0,53,F,budget,
15291,0,1,2024-02-22,discount_20,category_0,7.72,45.32,email,0,0.0,25,20,1362.0299999999995,45.32,33,27,6,12.6,category_0,category_2,0.52,0,3,0.07,1,38,F,budget,
15291,1,0,2024-01-02,discount_10,category_0,5.86,45.32,app,1,47.17,25,20,1362.0299999999995,45.32,22,32,2,19.6,category_0,category_7,0.56,1,3,0.54,1,48,M,budget,
15291,1,2,2024-03-28,free_delivery,category_0,6.35,45.32,web,0,0.0,25,20,1362.0299999999995,45.32,21,34,5,23.3,category_0,category_0,0.41,1,3,0.02,1,33,M,budget,
15291,1,2,2024-06-06,free_delivery,category_0,9.85,45.32,email,1,34.16,25,20,1362.0299999999995,45.32,41,49,5,6.0,category_0,category_0,0.44,0,3,0.72,1,56,M,budget,
15291,1,2,2024-02-07,free_delivery,category_0,9.43,45.32,email,1,54.93,25,20,1362.0299999999995,45.32,52,15,1,21.2,category_0,category_0,0.57,0,3,0.14,0,45,F,budget,
14688,1,2,2024-05-09,free_delivery,category_4,1.86,17.22,app,1,17.58,7,83,1778.33,17.22,103,11,0,6.3,category_4,category_4,0.5,0,3,0.18,0,45,M,budget,
14688,1,1,2024-01-21,discount_20,category_4,4.72,17.22,web,1,16.35,7,83,1778.33,17.22,88,15,6,11.6,category_4,category_4,0.67,1,3,0.28,1,33,M,budget,
17809,1,1,2024-06-09,discount_20,category_1,23.57,88.72,web,1,80.09,15,26,2555.2000000000003,88.72,65,10,2,5.4,category_1,category_1,0.87,1,3,0.0,1,66,F,budget,
17809,1,0,2024-02-27,discount_10,category_1,15.73,88.72,email,1,67.4,15,26,2555.2000000000003,88.72,32,42,4,23.2,category_1,category_1,0.8,0,3,0.52,1,65,F,budget,
